ADDRESS,PRICE,BEDROOMS,BATHROOMS,GARAGE,FLOOR_AREA,BUILD_YEAR
1 Datchet Turn,270000,3,2,2.0,109,2011.0
1 McKenzie Corner,470000,4,2,2.0,279,2005.0
10 Addingham Crescent,455000,4,2,2.0,200,2004.0
10 Cleopatra Circuit,410000,4,2,2.0,148,2005.0
10 Corrour Bend,245000,3,2,1.0,105,2012.0
10 Daniels Place,394000,4,2,2.0,223,2006.0
10 Sanctuary Drive,385000,4,2,2.0,146,2007.0
10 Squires Avenue,410000,4,2,2.0,183,2006.0
10 Tranby Way,390000,4,2,2.0,153,2003.0
10 Yelka Way,460000,4,2,2.0,190,2002.0
11 Datchet Turn,160000,3,2,3.0,111,2011.0
11 Heathcote Way,335000,4,2,2.0,200,2005.0
11 Karda Way,382000,4,2,2.0,146,2006.0
11 Moombaki Avenue,508000,4,2,3.0,192,2005.0
11 Ostling Avenue,345000,4,2,2.0,162,2007.0
117 Millbrook Avenue,305000,3,2,1.0,116,2012.0
12 Ameer Crescent,353000,4,2,2.0,174,2005.0
12 Dewsbury Drive,360000,4,2,2.0,193,2008.0
13 Corrour Bend,360000,3,2,2.0,140,2012.0
13 Parkfield Boulevard,375000,4,2,2.0,166,2004.0
13 Unicorn Street,405000,4,2,2.0,143,2001.0
14 Champion Drive,290000,4,2,2.0,143,2012.0
14 Chieftain Street,366000,4,2,4.0,190,2001.0
14 John Forrest Circuit,420000,4,2,2.0,191,2006.0
14 Ludlow Way,290000,3,2,1.0,110,2012.0
14 Rewell Vista,430000,4,2,2.0,213,2006.0
14 Sanctuary Drive,518000,4,2,3.0,236,2007.0
14 Squires Avenue,455000,4,2,2.0,226,2007.0
15 Hunter Way,470000,4,2,2.0,183,2005.0
15 Keyham Street,300000,3,2,2.0,110,2009.0
15 Minstrell Road,433000,4,2,2.0,190,2005.0
15 Moston Crescent,399000,4,2,2.0,173,2009.0
16 Ameer Crescent,417000,4,2,2.0,190,2005.0
16 Leeuwin Chase,415000,4,2,2.0,165,2010.0
16 Mickle Way,360000,4,2,2.0,180,2006.0
